Date,Ticker,Close,High,Low,Open,Volume
1987-04-10,UNH,0.19088955223560333,0.19396820987713737,0.19088955223560333,0.0,691200.0
1987-04-10,WMT,0.7074028849601746,0.7120770667993042,0.6996120112812932,0.710519006186261,22065600.0
1987-04-10,ZSPC,,,,,
1987-04-13,AMZN,,,,,
1987-04-13,COST,7.714471340179443,7.966030188228774,7.714471340179444,7.924103713553885,524000.0
1987-04-13,INLF,,,,,
1987-04-13,JNJ,2.2754321098327637,2.3457404053613042,2.2754321098327637,2.320173752441835,10064000.0
1987-04-13,NVDA,,,,,
1987-04-13,UNH,0.18473152816295624,0.19088964509547282,0.18473152816295624,0.0,512000.0
1987-04-13,WMT,0.6980540156364441,0.7167518859605121,0.693379262748568,0.7074029507984781,23179200.0
1987-04-13,ZSPC,,,,,
1987-04-14,AMZN,,,,,
1987-04-14,COST,7.127503871917725,7.7144747790168315,7.085577378553503,7.7144747790168315,1610000.0
1987-04-14,INLF,,,,,
1987-04-14,JNJ,2.185948610305786,2.249865236338119,2.1252280106331325,2.2434735737348857,18240000.0
1987-04-14,NVDA,,,,,
1987-04-14,UNH,0.1693374216556549,0.18473151490050208,0.1693374216556549,0.0,1657600.0
1987-04-14,WMT,0.6809144020080566,0.6949375234794946,0.6606584650971561,0.6887052786539144,47774400.0
1987-04-14,ZSPC,,,,,
1987-04-15,AMZN,,,,,
1987-04-15,COST,7.253279209136963,7.337132147970916,7.085573331469056,7.295205678553939,730400.0
1987-04-15,INLF,,,,,
1987-04-15,JNJ,2.205122709274292,2.224297689354938,2.176360434211307,2.224297689354938,12443200.0
1987-04-15,NVDA,,,,,
1987-04-15,UNH,0.17549477517604828,0.17549477517604828,0.16933745608776035,0.0,656000.0
1987-04-15,WMT,0.6949379444122314,0.7011707636269918,0.6840309387470718,0.6949379444122314,22776000.0
1987-04-15,ZSPC,,,,,
1987-04-16,AMZN,,,,,
1987-04-16,COST,7.29520320892334,7.379056119370734,7.211350298475945,7.253276753699642,970800.0
1987-04-16,INLF,,,,,
1987-04-16,JNJ,2.205122709274292,2.2274937144263633,2.179556069166764,2.224297689354938,16160000.0
1987-04-16,NVDA,,,,,
1987-04-16,UNH,0.1662587672472,0.17549474425216266,0.16010065058975784,0.0,2508800.0
1987-04-16,WMT,0.7105193734169006,0.7167521897041584,0.6996123728746696,0.701170434292994,33283200.0
1987-04-16,ZSPC,,,,,
1987-04-20,AMZN,,,,,
1987-04-20,COST,7.29520320892334,7.379056119370734,7.211350298475945,7.29520320892334,482800.0
1987-04-20,INLF,,,,,
1987-04-20,JNJ,2.1923398971557617,2.1987315586635043,2.179556574140276,2.1923398971557617,6819200.0
1987-04-20,NVDA,,,,,
1987-04-20,UNH,0.1662587672472,0.16933742624885423,0.16317930959141205,0.0,393600.0
1987-04-20,WMT,0.7105193734169006,0.7167521897041584,0.701170434292994,0.7136354962535494,15076800.0
1987-04-20,ZSPC,,,,,
1987-04-21,AMZN,,,,,
1987-04-21,COST,7.29520320892334,7.29520320892334,7.12749738802855,7.253276753699642,798800.0
1987-04-21,INLF,,,,,
1987-04-21,JNJ,2.262648105621338,2.2818230895672813,2.169969211607301,2.1795565085222495,10257600.0
1987-04-21,NVDA,,,,,
1987-04-21,UNH,0.1662587672472,0.1662587672472,0.16317930959141205,0.0,1507200.0
1987-04-21,WMT,0.7354499697685242,0.7354499697685241,0.6949375252307484,0.7074031561410874,24076800.0
1987-04-21,ZSPC,,,,,
1987-04-22,AMZN,,,,,
1987-04-22,COST,7.211355209350586,7.420987628227057,7.211355209350587,7.295208176901174,466800.0
1987-04-22,INLF,,,,,
1987-04-22,JNJ,2.233886957168579,2.307390904497496,2.233886957168579,2.2754325817205223,12800000.0
1987-04-22,NVDA,,,,,
1987-04-22,UNH,0.1662587672472,0.16933742624885423,0.16317930959141205,0.0,857600.0
1987-04-22,WMT,0.7089616060256958,0.7354503729647578,0.7058454818966992,0.7323336782215643,22483200.0
1987-04-22,ZSPC,,,,,
1987-04-23,AMZN,,,,,
1987-04-23,COST,7.169427394866943,7.253280346853691,7.085574442880195,7.253280346853691,288400.0
1987-04-23,INLF,,,,,
1987-04-23,JNJ,2.2498655319213867,2.281823849136179,2.208319914600245,2.2498655319213867,11795200.0
1987-04-23,NVDA,,,,,
1987-04-23,UNH,0.16317929327487946,0.16933740931656271,0.16010063458106474,0.0,2467200.0
1987-04-23,WMT,0.7105193734169006,0.715194128285834,0.6980543114563452,0.7089613119985763,16257600.0
1987-04-23,ZSPC,,,,,
1987-04-24,AMZN,,,,,
1987-04-24,COST,6.834014892578125,7.16942666644699,6.792088420844516,7.127500194713381,686000.0
1987-04-24,INLF,,,,,
1987-04-24,JNJ,2.2242963314056396,2.262646268154013,2.205121363031453,2.2306879875303687,11233600.0
1987-04-24,NVDA,,,,,
1987-04-24,UNH,0.1539432555437088,0.16010057046551546,0.1539432555437088,0.0,761600.0
1987-04-24,WMT,0.6902632117271423,0.7214261419119338,0.6871470898927963,0.7011702087611306,20664000.0
1987-04-24,ZSPC,,,,,
1987-04-27,AMZN,,,,,
1987-04-27,COST,6.666308879852295,6.834014763622164,6.540529467024893,6.834014763622164,927200.0
1987-04-27,INLF,,,,,
1987-04-27,JNJ,2.230689764022827,2.2434730864527577,2.173164813088141,2.2019274836135048,13672000.0
1987-04-27,NVDA,,,,,
1987-04-27,UNH,0.144706591963768,0.15702202960633704,0.13854847381531996,0.0,8921600.0
1987-04-27,WMT,0.6964960098266602,0.7042863142315192,0.6559835738525757,0.6731233847707926,35860800.0
1987-04-27,ZSPC,,,,,
1987-04-28,AMZN,,,,,
1987-04-28,COST,6.750161170959473,6.834014104760211,6.708234704059103,6.792087637859842,978800.0
1987-04-28,INLF,,,,,
1987-04-28,JNJ,2.2466681003570557,2.2818220261501763,2.2434720761308453,2.2562553928039555,10286400.0
1987-04-28,NVDA,,,,,
1987-04-28,UNH,0.13854843378067017,0.14470655014968253,0.13239111606575416,0.0,1542400.0
1987-04-28,WMT,0.6933799386024475,0.7214267714264629,0.6871476894955161,0.6996127583236535,15849600.0
1987-04-28,ZSPC,,,,,
1987-04-29,AMZN,,,,,
1987-04-29,COST,6.456676483154297,6.792088248512962,6.456676483154297,6.750161777843129,1031200.0
1987-04-29,INLF,,,,,
1987-04-29,JNJ,2.230689764022827,2.2818230537425483,2.2211024672584,2.262648070097653,9972800.0
1987-04-29,NVDA,,,,,
1987-04-29,UNH,0.13239112496376038,0.13546978402813503,0.12623300818086106,0.0,2524800.0
1987-04-29,WMT,0.6933799386024475,0.7011708206003865,0.6887057517722489,0.7011708206003865,15936000.0
1987-04-29,ZSPC,,,,,
1987-04-30,AMZN,,,,,
1987-04-30,COST,7.127503871917725,7.25328335201039,6.37282699136173,6.498606471454396,1474800.0
1987-04-30,INLF,,,,,
1987-04-30,JNJ,2.2274930477142334,2.2626469722821603,2.2242970235994117,2.2242970235994117,7297600.0
1987-04-30,NVDA,,,,,
1987-04-30,UNH,0.1231544241309166,0.12931254466478065,0.11083898171782493,0.0,17491200.0
1987-04-30,WMT,0.7058448195457458,0.7136351225579697,0.6933791934988649,0.6949372541013097,22699200.0
1987-04-30,ZSPC,,,,,
1987-05-01,AMZN,,,,,
1987-05-01,COST,7.085569858551025,7.127496307418191,7.04364340968386,7.127496307418191,763600.0
1987-05-01,INLF,,,,,
1987-05-01,JNJ,2.2019267082214355,2.237080637466529,2.1891433902930553,2.217905660573959,6907200.0
1987-05-01,NVDA,,,,,
1987-05-01,UNH,0.1231544241309166,0.1231544241309166,0.11391764265743873,0.0,27811200.0
1987-05-01,WMT,0.6918213963508606,0.7136353943194597,0.6887052739593117,0.7011703341393857,13521600.0
1987-05-01,ZSPC,,,,,
1987-05-04,AMZN,,,,,
1987-05-04,COST,7.001717567443848,7.085570472443175,6.91786466244452,7.085570472443175,791600.0
1987-05-04,INLF,,,,,
1987-05-04,JNJ,2.217906951904297,2.2370819399611066,2.189144664877148,2.2083196529339575,4051200.0
1987-05-04,NVDA,,,,,
1987-05-04,UNH,0.15702196955680847,0.16010062812650505,0.12007567075838421,0.0,8681600.0
1987-05-04,WMT,0.6887048482894897,0.6902629085222693,0.6746811649674217,0.6824720367448455,17520000.0
1987-05-04,ZSPC,,,,,
1987-05-05,AMZN,,,,,
1987-05-05,COST,6.959795951843262,7.001722433480872,6.875942988568041,7.001722433480872,403600.0
1987-05-05,INLF,,,,,
1987-05-05,JNJ,2.2946083545684814,2.3073916880201164,2.214712715553951,2.214712715553951,6752000.0
1987-05-05,NVDA,,,,,
